#{"t_start": 1636050399.916969, "env_id": null}
r,l,t
-28.316725,5000,39.336515
-21.875863,5000,68.911286
-23.144898,5000,114.973938
-43.323298,5000,152.223532
-14.685479,5000,202.723468
-19.891674,5000,241.190176
-13.758935,5000,288.20768
-15.617511,5000,323.263268
-18.13314,5000,357.754141
-16.115157,5000,405.962379
-18.509537,5000,440.42706
-18.766405,5000,488.423539
6719.071614,1891,503.959831
-21.280258,5000,538.744467
-25.008478,5000,582.958343
-28.667275,5000,616.380585
-15.256137,5000,649.909269
-20.341272,5000,693.739012
8349.622374,4303,724.110406
-27.754769,5000,753.757017
-18.394403,5000,797.209467
-29.621673,5000,827.282295
-19.838124,5000,869.20816
-21.30668,5000,900.835491
-21.736374,5000,946.109746
-18.141465,5000,978.379119
-16.696962,5000,1023.548316
-16.519822,5000,1058.790193
