#{"t_start": 1636050400.1200895, "env_id": null}
r,l,t
-22.32406,5000,39.134524
9186.40839,3234,65.874741
-22.125678,5000,99.466167
-19.356716,5000,136.905149
-15.122466,5000,185.601389
-15.746851,5000,224.401919
-16.182271,5000,272.723048
-18.127203,5000,306.449818
-19.348695,5000,354.255628
-24.263186,5000,390.853317
-14.101781,5000,423.703478
-17.27901,5000,473.208717
-13.847506,5000,506.235554
-22.533407,5000,552.638633
-19.396913,5000,585.221008
-13.273154,5000,630.579861
-25.356396,5000,663.856284
-20.704481,5000,707.921869
-18.457499,5000,737.85067
-18.105141,5000,767.275305
-21.332933,5000,810.995331
-21.116103,5000,841.193806
-31.447293,5000,884.657002
-29.107916,5000,914.7633
-17.388391,5000,960.433148
9545.325623,3263,978.785252
-20.82012,5000,1023.932739
-22.234629,5000,1059.148572
