#{"t_start": 1636050400.210058, "env_id": null}
r,l,t
-23.513963,5000,39.043535
-24.443141,5000,68.633491
-17.890622,5000,114.68153
-19.793767,5000,151.934275
-26.636482,5000,202.430378
-23.335672,5000,240.884239
-19.946996,5000,287.914267
-14.263979,5000,322.963295
-26.277853,5000,357.46973
-18.146096,5000,405.669264
-12.982617,5000,440.145764
-19.209198,5000,488.130185
-18.137089,5000,522.722407
-18.126325,5000,567.335002
-35.012225,5000,600.484171
-19.091347,5000,645.621807
-15.485859,5000,678.786862
-24.543404,5000,710.776209
-21.872161,5000,751.022117
-22.364327,5000,782.24798
-20.480168,5000,824.621644
-25.675331,5000,856.16252
-18.25467,5000,898.056464
-23.267528,5000,931.136214
-21.268205,5000,975.365929
-22.116683,5000,1008.751633
-23.192832,5000,1042.3372
