#{"t_start": 1636050399.9286776, "env_id": null}
r,l,t
-19.865076,5000,39.324754
-21.318456,5000,68.899502
-22.834578,5000,114.961315
-19.826458,5000,152.209229
-19.083827,5000,202.697813
-15.963814,5000,241.165422
-15.021534,5000,288.18138
-16.825841,5000,323.244541
-18.600239,5000,357.741992
-17.516836,5000,405.949965
-13.4287,5000,440.411167
-20.349974,5000,488.40695
5424.231214,3632,520.512675
-13.431445,5000,553.56921
-22.895163,5000,586.134925
-24.477848,5000,631.491271
-16.810017,5000,664.795485
-17.446573,5000,708.767565
-18.886038,5000,738.711887
-20.773942,5000,780.270753
-16.171107,5000,811.876384
-25.200222,5000,854.156225
-19.706525,5000,885.534267
-15.778228,5000,915.650929
-19.231093,5000,961.352062
-22.721111,5000,994.803723
-22.695187,5000,1040.005873
