#{"t_start": 1636050400.0976372, "env_id": null}
r,l,t
9129.034181,895,8.655797
-15.52357,5000,41.028132
-18.670691,5000,82.659036
-30.781791,5000,116.787741
-17.411273,5000,167.676312
-34.738237,5000,204.607331
-17.481609,5000,256.378094
-17.88908,5000,290.096567
7211.363342,346,290.793639
-18.208224,5000,337.303848
-18.709869,5000,373.818699
-17.539221,5000,420.137798
-17.314191,5000,456.310119
-17.396539,5000,490.959122
-24.213605,5000,537.357322
-15.950253,5000,569.836632
-29.029555,5000,614.982123
-13.607305,5000,648.469896
-14.493671,5000,692.462903
-20.191484,5000,724.011038
9813.455177,100,724.200017
-20.16952,5000,764.179248
-18.297877,5000,797.276679
-15.827464,5000,827.360638
-15.588078,5000,869.270833
-19.217868,5000,900.916489
-21.78784,5000,946.180715
-18.031337,5000,978.493679
8148.041474,203,978.902265
-16.983937,5000,1024.045702
-22.566115,5000,1059.268431
