#{"t_start": 1636050399.9009817, "env_id": null}
r,l,t
-17.864846,5000,39.352393
-18.24268,5000,68.927168
-17.782285,5000,114.988986
-33.188743,5000,152.236705
-21.457796,5000,202.725622
-20.281968,5000,241.19284
-31.577249,5000,288.209249
-16.49816,5000,323.272292
-15.801075,5000,357.770002
-24.017091,5000,405.977895
-20.857305,5000,440.43868
-18.755394,5000,488.434662
8859.065665,4879,522.805768
-18.081512,5000,567.448955
-18.820975,5000,600.559614
-17.878624,5000,645.695308
-17.177141,5000,678.862659
-32.282171,5000,710.881254
-20.722832,5000,751.120189
-17.249233,5000,782.342667
-17.592831,5000,824.717222
-25.537654,5000,856.256254
-17.634675,5000,898.155451
-16.126533,5000,931.235951
-23.996035,5000,963.799217
-19.450364,5000,1008.825869
-17.628304,5000,1042.407768
