#{"t_start": 1636113396.8433604, "env_id": null}
r,l,t
4988.86335,183,3.700982
8011.874584,180,4.484212
7553.269517,328,5.054104
9997.761091,61,5.159338
9997.758598,6,5.175326
9991.24667,171,6.413908
6372.205983,92,7.063098
4953.14519,137,7.770228
7667.766201,77,7.908867
5734.913957,13,7.935428
9519.954353,148,8.670726
8441.98172,125,8.887023
6826.181467,398,9.591266
6438.138431,33,9.644838
8586.158448,124,21.286135
9614.451926,313,22.305814
9167.035509,86,23.872418
5907.875296,189,24.667998
8982.256424,470,25.894597
9774.458176,128,26.581626
8717.29218,12,26.606997
9465.289626,97,27.204627
7901.789333,90,27.367158
8357.512303,241,29.208627
4243.734985,113,29.409197
9273.480494,213,30.737393
