#{"t_start": 1636050400.0891595, "env_id": null}
r,l,t
-14.176218,5000,39.165033
-24.092453,5000,68.746149
-18.647322,5000,114.802833
-18.840453,5000,152.051217
-20.209026,5000,202.538371
-17.774927,5000,241.007227
-20.02447,5000,288.023768
-18.179561,5000,323.090907
8450.421529,444,324.331389
-12.32607,5000,372.350088
-22.679439,5000,406.95348
-16.827309,5000,454.90016
-16.453041,5000,489.438841
-14.313132,5000,524.105453
-18.276323,5000,568.576231
-16.840023,5000,601.852003
-16.131072,5000,646.98488
-19.010229,5000,680.140104
-17.450106,5000,722.678003
-15.470097,5000,752.319812
-16.876785,5000,795.770781
-18.698525,5000,825.833075
-17.285169,5000,857.428461
-21.024384,5000,899.359641
-25.493796,5000,932.454515
-17.769375,5000,976.756742
-20.839782,5000,1010.02584
-21.262363,5000,1057.196015
