#{"t_start": 1636050400.1764784, "env_id": null}
r,l,t
-16.892352,5000,39.076739
-16.254743,5000,68.651419
-13.580903,5000,114.713915
-20.329756,5000,151.961462
-18.485514,5000,202.450059
-19.798013,5000,240.917501
-22.528677,5000,287.933504
-15.211341,5000,322.996648
-18.391695,5000,357.494191
-17.524766,5000,405.702382
-17.299597,5000,440.163261
-15.898849,5000,488.159152
-15.891156,5000,522.753264
-20.139326,5000,567.368355
-23.477432,5000,600.517424
-15.730562,5000,645.654917
-14.305006,5000,678.820004
-14.135594,5000,710.809531
-14.446266,5000,751.052129
-24.013719,5000,782.281045
-19.831271,5000,824.651259
-18.131903,5000,856.195466
-15.372218,5000,898.089842
9906.304484,17,898.542717
-18.318282,5000,931.62635
-18.570845,5000,975.868598
-19.723622,5000,1009.148979
-19.719786,5000,1042.835251
