#{"t_start": 1636113397.3920887, "env_id": null}
r,l,t
6181.765257,5,1.903935
6462.949427,151,2.635188
9752.459002,88,3.254183
9953.913927,583,4.740474
5956.466565,53,5.309902
9526.680754,57,5.881952
7415.928436,164,6.647569
8091.90092,214,7.507574
9543.33226,976,21.123186
9343.612825,100,21.76581
4922.215844,1,22.235889
5931.622908,8,22.71419
3923.786332,125,23.406663
4876.658727,554,24.825218
1576.497183,90,25.406747
6198.548552,141,26.124665
9118.216969,183,26.872015
8469.976806,78,27.485368
8390.922448,98,28.147535
9473.385634,166,28.902406
7519.31016,191,29.716639
