#{"t_start": 1636050400.0617707, "env_id": null}
r,l,t
-20.496764,5000,39.203765
-24.926126,5000,68.771868
-19.45237,5000,114.83032
-20.260069,5000,152.07639
-19.248985,5000,202.56793
-17.93449,5000,241.032667
-19.958606,5000,288.048479
-32.07802,5000,323.111701
-16.456768,5000,357.608968
8585.705614,9,358.046429
-13.400968,5000,406.200605
-17.09653,5000,440.700758
-15.581491,5000,488.657517
-23.722924,5000,523.331954
-16.0612,5000,567.92054
-18.095819,5000,601.063252
-21.933096,5000,646.207014
-18.087888,5000,679.355277
-25.660396,5000,711.372941
-21.811398,5000,751.605184
-14.948743,5000,782.838466
-23.838134,5000,825.122944
-18.543267,5000,856.706362
-18.848999,5000,898.640257
-16.155096,5000,931.723744
-20.802222,5000,975.961965
-18.989279,5000,1009.242
-20.223724,5000,1042.927696
