#{"t_start": 1636050400.0564952, "env_id": null}
r,l,t
-18.937114,5000,39.196654
-19.077241,5000,68.771326
-22.725044,5000,114.83341
-16.660287,5000,152.081274
-18.143081,5000,202.570019
-13.929445,5000,241.037375
-17.97718,5000,288.053931
-16.114293,5000,323.11652
-19.598684,5000,357.614072
-16.079148,5000,405.82229
-15.303312,5000,440.282931
-18.377065,5000,488.278887
9771.166795,3204,506.239456
-16.733401,5000,552.641071
-18.269382,5000,585.221614
-15.86607,5000,630.585979
-15.696648,5000,663.852394
-19.36237,5000,707.928608
-16.373959,5000,737.861915
-16.108694,5000,767.283476
-19.156744,5000,811.004334
-17.778412,5000,841.202818
-24.478035,5000,884.664131
-20.137099,5000,914.771001
-21.141889,5000,960.438437
-25.394247,5000,993.861929
-18.582817,5000,1039.091648
