#{"t_start": 1636050399.9833608, "env_id": null}
r,l,t
-18.358146,5000,39.269985
-14.527569,5000,68.844659
-14.188495,5000,114.90658
-17.765352,5000,152.154555
-18.833007,5000,202.653167
-17.854334,5000,241.110649
-12.838912,5000,288.126793
-24.386541,5000,323.189517
-16.998813,5000,357.687342
-20.12917,5000,405.895423
-17.791901,5000,440.356171
-25.780753,5000,488.352314
-16.125289,5000,522.946068
-16.50681,5000,567.561406
-13.145106,5000,600.710806
-13.514936,5000,645.847943
-17.876577,5000,679.01307
-16.382012,5000,711.002734
-18.626245,5000,751.245215
-18.808441,5000,782.474439
5227.493778,4971,824.791155
-16.863912,5000,856.336508
-19.299925,5000,898.230263
-19.505427,5000,931.309784
-16.831898,5000,975.530398
-18.497483,5000,1008.917171
-26.87163,5000,1042.503119
