#{"t_start": 1636050399.9019248, "env_id": null}
r,l,t
-20.426442,5000,39.359197
-20.398574,5000,68.941612
-19.985694,5000,114.99183
-19.253817,5000,152.238451
-18.821851,5000,202.734866
-18.418769,5000,241.20434
-15.558269,5000,288.208364
-18.295501,5000,323.285452
-17.908926,5000,357.769371
-15.879343,5000,405.977228
-13.324096,5000,440.445298
-22.669996,5000,488.438437
-24.660791,5000,523.030548
-17.253374,5000,567.643364
-15.099334,5000,600.792539
-17.074693,5000,645.930031
-15.095664,5000,679.098711
-17.746586,5000,711.086025
-18.565965,5000,751.326691
-15.526185,5000,782.56179
-17.079165,5000,824.926519
-18.664577,5000,856.470397
4985.365118,416,857.564145
-21.930296,5000,899.493787
-15.149413,5000,932.584612
-15.527014,5000,976.888707
-19.973654,5000,1010.158516
-15.926197,5000,1057.327296
