#{"t_start": 1636050399.755519, "env_id": null}
r,l,t
-21.911828,5000,39.498544
-26.078008,5000,69.088067
-18.398875,5000,115.145862
-19.148306,5000,152.395887
-16.931019,5000,202.871331
-19.571514,5000,241.340869
-20.653289,5000,288.358911
-23.575352,5000,323.419374
-25.980624,5000,357.921947
-12.680801,5000,406.123935
-17.970023,5000,440.587574
-17.147136,5000,488.592624
-19.655449,5000,523.174407
-14.635633,5000,567.789439
-17.213402,5000,600.938926
-18.670277,5000,646.076211
-16.044953,5000,679.241144
-17.466151,5000,711.231697
-19.935334,5000,751.473138
-23.332022,5000,782.703641
-18.972445,5000,825.07285
-20.507617,5000,856.616713
-21.398549,5000,898.511078
-16.41995,5000,931.590685
-17.008517,5000,975.823911
-22.149267,5000,1009.20625
-21.130733,5000,1042.791786
