#{"t_start": 1636050400.0170822, "env_id": null}
r,l,t
-26.365709,5000,39.237027
-21.624871,5000,68.826484
-19.728905,5000,114.873179
-18.660587,5000,152.125052
-13.73353,5000,202.60978
-13.719023,5000,241.089926
-14.306506,5000,288.094036
-16.274971,5000,323.168015
-22.831261,5000,357.667273
-23.409448,5000,405.861767
-14.16833,5000,440.325156
-13.86435,5000,488.327058
5361.717097,1644,503.412632
-16.888332,5000,538.195007
-17.210195,5000,570.588851
-15.15351,5000,615.822789
-22.094363,5000,649.329707
8654.720158,452,661.864641
-20.647046,5000,693.981617
-18.797666,5000,725.5965
-14.20233,5000,765.514563
-15.42727,5000,798.612574
-21.408328,5000,839.400844
-20.823989,5000,870.604184
-20.365135,5000,912.963975
-19.351298,5000,947.515762
-21.552165,5000,991.785274
-21.242068,5000,1025.115645
-28.40406,5000,1060.38093
