#{"t_start": 1636113396.7900922, "env_id": null}
r,l,t
9891.263543,58,3.075641
9921.593803,21,3.110646
6432.641919,19,3.145108
3272.443131,903,7.06579
7712.490418,452,8.821972
7658.512449,55,8.91328
8712.530341,28,8.973979
9965.494004,252,9.39564
9637.992064,59,9.508263
9952.495066,36,9.573796
6102.342716,77,9.714972
5845.354621,962,25.15732
9836.317086,143,25.401425
8927.202775,325,27.292317
7028.911393,162,28.048284
9623.428534,5,28.060498
9918.328936,65,28.662153
9705.391713,192,29.456349
